Test Data File (Binary):
C:/Skripsi/Hasil_Uji_NIST_SubSampling.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.708404316181398   	Random
02. Frequency Test within a Block                 	0.6825736117597839  	Random
03. Runs Test                                     	0.8011491553660132  	Random
04. Test for the Longest Run of Ones in a Block   	0.6236829915784876  	Random
05. Binary Matrix Rank Test                       	0.50697437364931    	Random
06. Discrete Fourier Transform (Spectral) Test    	0.3985297752512966  	Random
07. Non-overlapping Template Matching Test        	0.5466598906030433  	Random
08. Overlapping Template Matching Test            	0.39245959338190356 	Random
09. Maurer's "Universal Statistical" Test         	0.9691610226521641  	Random
10. Linear Complexity Test                        	0.36772205859280355 	Random
11. Serial Test:
													0.18772047604800546 	Random
													0.5089301117089668  	Random
12. Approximate Entropy Test                      	0.6420593882446122  	Random
13. Cumulative Sums Test (Forward)                	0.9275795414788561  	Random
14. Cumulative Sums Test (Backward)               	0.6550124347957142  	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	1.8859638409013286  	0.8646884093720038  	Random
				-3        	3.0530846625766883  	0.6918018601108847  	Random
				-2        	1.9295362165164482  	0.858806636447297   	Random
				-1        	2.2948875255623724  	0.8070174613076444  	Random
				+1        	3.524335378323108   	0.6197086174085916  	Random
				+2        	6.750077002701405   	0.23990073755275848 	Random
				+3        	2.4645752147239226  	0.7818204069427837  	Random
				+4        	3.840043983037061   	0.5726680073855904  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	2302                	0.6199141756903122  	Random
				-8.0      	2403                	0.876760096073155   	Random
				-7.0      	2432                	0.9588788819282742  	Random
				-6.0      	2454                	0.9690455699306193  	Random
				-5.0      	2453                	0.9695807070857899  	Random
				-4.0      	2410                	0.8499553700686818  	Random
				-3.0      	2430                	0.923576627028811   	Random
				-2.0      	2505                	0.6203337413810878  	Random
				-1.0      	2486                	0.5576652840792333  	Random
				+1.0      	2428                	0.807923797498516   	Random
				+2.0      	2375                	0.563304422222846   	Random
				+3.0      	2401                	0.7784090087926293  	Random
				+4.0      	2361                	0.6498137906487786  	Random
				+5.0      	2324                	0.564088536444942   	Random
				+6.0      	2359                	0.7107814430206846  	Random
				+7.0      	2373                	0.7752106017212588  	Random
				+8.0      	2392                	0.8448502804658078  	Random
				+9.0      	2321                	0.6671420957338565  	Random
